hydroID (GLAHF database),bottle/vial ID,stream name,TPmgL,TNmgL,SRPmgL,NitratemgL,NH4mgL,DINmgL,Flowlitersday,TPload_kgday,TNload_kgday,SRP percent of TP,DIN percent of TN,Load N:P,urban,barren,forest,shrubland,herbaceous,agriculture,wetland,Strahler order,Areakm2,damspresent,percentwater,percentTP,percentTN
2109374,70,no name,0.0298,1.915196,0.008931,1.871453,0.043743,1.915196,3363833.479,0.100242238,6.442400424,29.96979866,100,142.1196806,4.981420106,0.090388671,28.05061766,4.690167721,1.717384754,43.3263031,17.14371799,1,8.9838,no,0.005900862,0.003523899,0.011331703
2109368,71,pensaukee,0.132142,0.73551,0.100238,0.102642,0.069865,0.172507,138384548.1,18.28641096,101.783219,75.85627582,23.45406589,12.30849538,6.334529222,0.432327665,19.7434655,0.42956599,1.006253939,56.39315205,15.66070563,4,359.6715,no,0.242755236,0.64283744,0.179029103
2109366,72,no name (pecor point creek),0.063594,0.958589,0.019205,0.01019,0.020005,0.030195,4097631.378,0.26058477,3.927944365,30.19938988,3.149942259,33.33293529,4.511986301,0,51.37842466,3.535958904,1.267123288,5.077054795,34.22945205,1,10.521,no,0.007188096,0.009160554,0.006908962
2109351,73,no name,0.072349,0.991331,0.007788,0.013045,0.163401,0.176446,3809281.985,0.275597742,3.776259319,10.7644888,17.79889865,30.30005489,10.39924847,0.037576327,37.1723814,4.161578206,1.277595115,8.990136214,37.96148426,1,9.6327,no,0.006682272,0.009688317,0.006642159
2109342,74,oconto river,0.044956,0.700452,0.020627,0.184399,0.038232,0.222631,1041386160,46.81655622,729.4410187,45.8826408,31.78390525,34.45466073,5.218166101,0.022512193,41.96702656,0.884896759,1.27813159,21.82178284,28.80748396,5,2530.0449,yes,1.826807588,1.645781407,1.283032435
2109335,75,no name,0.116667,0.552097,0.075904,0.003196,0.033455,0.036651,8290233.544,0.967196677,4.577013069,65.06038554,6.638507364,10.46464783,9.960232207,0.118846277,9.722539654,0.868492024,0.950770215,57.06449696,21.31462266,1,19.7631,no,0.014542791,0.034000671,0.008050625
2109327,76,no name,0.275785,1.311063,0.157641,0.004557,0.035604,0.040161,9059422.537,2.498452844,11.87747369,57.16083181,3.063239524,10.51260099,6.688311688,0,14.16883117,0.593073593,1.12987013,50.69264069,26.72727273,2,20.8368,no,0.015892108,0.087830194,0.020891592
2109324,77,thomas slough,0.057221,1.332776,0.03146,0.005193,0.034526,0.039719,18268945.25,1.045367316,24.34841177,54.9798151,2.980170711,51.50613727,5.454703002,0.012997704,9.988735323,1.119968806,0.814522768,43.13937871,39.46969369,3,41.5629,no,0.032047524,0.036748668,0.042827043
2109321,78,no name,0.026234,1.207496,0.006337,0.005248,0.061468,0.066716,1293615.498,0.033936709,1.56203554,24.15567584,5.525152878,101.78375,1.905654483,0.031240237,35.70759138,1.21836926,0,12.96469853,48.17244611,1,2.8809,no,0.00226927,0.001193005,0.002747504
2109320,79,no name ,0.026389,0.929242,0.009498,0.524773,0.152775,0.677548,24039351.16,0.634374438,22.33837475,35.99226951,72.91405253,77.86874198,7.353440087,0.11874067,25.22899986,2.205183878,0.627629258,34.96743113,29.49857511,3,53.2566,no,0.042170014,0.022300693,0.039291538
